,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.1993,0.1132,0.1325,0.1563,0.0921,0.0760,0.3177,0.0789,0.1967,0.1805,0.1221,0.2204,0.1433,0.0000
C#,0.0015,0.0026,0.0265,0.0060,0.0095,0.0033,0.0017,0.0316,0.0013,0.0774,0.0014,0.0092,0.0239,0.0000
D,0.1329,0.0976,0.1126,0.0709,0.0952,0.1064,0.0756,0.0579,0.0899,0.0287,0.1087,0.0884,0.0478,0.0000
D#,0.0098,0.0056,0.0993,0.0038,0.0476,0.0076,0.0052,0.0158,0.0042,0.0802,0.0009,0.0563,0.0068,0.0000
E,0.0405,0.0597,0.0331,0.0936,0.0413,0.0568,0.0642,0.0632,0.0433,0.0229,0.0771,0.0126,0.2389,0.0000
F,0.2326,0.2236,0.1060,0.2049,0.1841,0.2507,0.0741,0.2000,0.2119,0.0860,0.2722,0.2732,0.0478,0.0000
F#,0.0021,0.0007,0.0596,0.0050,0.0349,0.0101,0.0026,0.0842,0.0053,0.0000,0.0019,0.0046,0.0239,0.0000
G,0.1042,0.2882,0.0861,0.1910,0.0921,0.0720,0.2498,0.1579,0.0801,0.1318,0.2495,0.1010,0.0956,0.0000
G#,0.0058,0.0072,0.0861,0.0014,0.1492,0.0007,0.0043,0.0263,0.0050,0.1089,0.0063,0.0287,0.0341,0.0000
A,0.2432,0.1057,0.0397,0.1702,0.0317,0.3115,0.1171,0.0474,0.2158,0.1060,0.0905,0.0838,0.1809,0.0000
A#,0.0222,0.0227,0.0927,0.0328,0.1714,0.0036,0.0142,0.0053,0.0134,0.0860,0.0101,0.0494,0.0444,0.0000
B,0.0058,0.0058,0.0331,0.0069,0.0063,0.0101,0.0024,0.1368,0.0027,0.0172,0.0089,0.0080,0.0614,0.0000
END,0.0000,0.0674,0.0927,0.0570,0.0444,0.0912,0.0712,0.0947,0.1303,0.0745,0.0503,0.0643,0.0512,0.0000
