,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.3443,0.1042,0.1948,0.1513,0.0774,0.0763,0.3706,0.0613,0.2989,0.1061,0.1157,0.2466,0.1431,0.0000
C#,0.0010,0.0015,0.0519,0.0031,0.0057,0.0018,0.0010,0.0536,0.0006,0.0401,0.0011,0.0015,0.0170,0.0000
D,0.0912,0.0793,0.1645,0.0715,0.2075,0.1054,0.0702,0.0843,0.0803,0.0259,0.1286,0.0741,0.0694,0.0000
D#,0.0029,0.0025,0.0346,0.0041,0.0245,0.0115,0.0035,0.0000,0.0025,0.0708,0.0006,0.0325,0.0014,0.0000
E,0.0292,0.0604,0.0216,0.0978,0.0396,0.0502,0.0558,0.0766,0.0389,0.0307,0.0738,0.0160,0.3031,0.0000
F,0.2310,0.2277,0.0736,0.1908,0.2377,0.2370,0.0651,0.2146,0.2070,0.1557,0.2942,0.3280,0.0439,0.0000
F#,0.0005,0.0006,0.0736,0.0017,0.0075,0.0028,0.0017,0.0383,0.0020,0.0024,0.0018,0.0029,0.0382,0.0000
G,0.0945,0.3003,0.1342,0.2551,0.1377,0.0621,0.2570,0.1954,0.0668,0.1981,0.2306,0.1008,0.0935,0.0000
G#,0.0017,0.0025,0.0519,0.0010,0.0396,0.0011,0.0028,0.0153,0.0036,0.0283,0.0034,0.0102,0.0085,0.0000
A,0.1867,0.1125,0.0736,0.1397,0.0189,0.3726,0.0999,0.0421,0.2010,0.1462,0.0734,0.0833,0.1601,0.0000
A#,0.0141,0.0143,0.0303,0.0286,0.1528,0.0048,0.0147,0.0038,0.0125,0.1038,0.0076,0.0484,0.0368,0.0000
B,0.0030,0.0058,0.0433,0.0065,0.0019,0.0077,0.0016,0.1609,0.0028,0.0283,0.0077,0.0097,0.0227,0.0000
END,0.0000,0.0883,0.0519,0.0488,0.0491,0.0665,0.0561,0.0536,0.0831,0.0637,0.0614,0.0460,0.0623,0.0000
