,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,4005,29173,291,11812,417,4309,64634,105,52787,523,17149,3425,714,0
C#,6,279,204,268,72,169,242,298,115,515,170,100,81,0
D,690,15622,221,7394,641,5896,12551,167,14905,96,17370,1097,371,0
D#,25,617,147,321,197,465,701,61,523,267,119,558,26,0
E,234,11220,88,7620,236,3211,9583,188,6623,83,10144,255,1310,0
F,1080,46378,205,14709,826,12273,12683,365,37058,454,36526,4645,223,0
F#,10,103,389,159,58,258,300,118,355,133,248,148,175,0
G,721,55031,174,18382,506,3588,42906,356,14567,660,29069,1580,519,0
G#,14,591,310,91,356,91,573,287,582,195,486,248,72,0
A,2173,22804,144,12906,91,19349,18748,131,35858,426,13399,1317,901,0
A#,90,3093,159,2251,551,283,2873,63,2529,428,1099,654,208,0
B,22,1166,96,510,33,496,277,294,467,72,1069,144,195,0
END,0,3229,91,589,37,424,1386,25,1687,42,1408,106,41,0
