,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.3692,0.1779,0.0952,0.1209,0.1964,0.0601,0.3167,0.0312,0.2484,0.2097,0.1409,0.2308,0.0192,0.0000
C#,0.0011,0.0017,0.0952,0.0000,0.0000,0.0030,0.0010,0.0938,0.0000,0.0161,0.0006,0.0096,0.0577,0.0000
D,0.0965,0.0734,0.1429,0.1402,0.1607,0.0976,0.0792,0.1250,0.0582,0.0323,0.1488,0.0865,0.0769,0.0000
D#,0.0078,0.0046,0.0476,0.0048,0.0536,0.0045,0.0035,0.0625,0.0005,0.0484,0.0024,0.0385,0.0192,0.0000
E,0.0344,0.0464,0.1905,0.1122,0.0357,0.0631,0.0647,0.1875,0.0381,0.0161,0.0795,0.0192,0.2115,0.0000
F,0.1574,0.2239,0.0000,0.1673,0.1250,0.2282,0.0961,0.0312,0.2020,0.1774,0.1985,0.2404,0.1538,0.0000
F#,0.0022,0.0008,0.1429,0.0010,0.0179,0.0075,0.0005,0.0312,0.0010,0.0161,0.0061,0.0048,0.0385,0.0000
G,0.0854,0.2479,0.1429,0.1905,0.0714,0.0826,0.2510,0.1562,0.1090,0.2419,0.2077,0.1346,0.0769,0.0000
G#,0.0011,0.0067,0.0000,0.0010,0.0179,0.0015,0.0025,0.0312,0.0039,0.0161,0.0109,0.0433,0.0000,0.0000
A,0.2228,0.0965,0.0476,0.1741,0.0000,0.3333,0.0986,0.0938,0.1844,0.0645,0.1190,0.1250,0.1923,0.0000
A#,0.0188,0.0215,0.0476,0.0213,0.1786,0.0090,0.0144,0.0000,0.0215,0.1129,0.0085,0.0288,0.0192,0.0000
B,0.0033,0.0059,0.0476,0.0039,0.0357,0.0060,0.0030,0.0938,0.0034,0.0000,0.0049,0.0000,0.0000,0.0000
END,0.0000,0.0927,0.0000,0.0629,0.1071,0.1036,0.0687,0.0625,0.1296,0.0484,0.0723,0.0385,0.1346,0.0000
