,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.3173,0.1259,0.0450,0.1638,0.1316,0.0875,0.3618,0.0058,0.2641,0.0657,0.1235,0.2197,0.1088,0.0000
C#,0.0055,0.0006,0.1000,0.0024,0.0219,0.0066,0.0023,0.2035,0.0007,0.1934,0.0017,0.0053,0.0204,0.0000
D,0.0974,0.0684,0.0300,0.0944,0.1360,0.1094,0.0637,0.0116,0.0836,0.0255,0.1080,0.0546,0.0986,0.0000
D#,0.0048,0.0029,0.1300,0.0052,0.0307,0.0066,0.0049,0.0174,0.0020,0.0657,0.0012,0.0559,0.0068,0.0000
E,0.0320,0.0585,0.0300,0.1033,0.0921,0.0669,0.0534,0.1163,0.0395,0.0036,0.0877,0.0293,0.2177,0.0000
F,0.1975,0.2081,0.0800,0.1962,0.1754,0.2328,0.0802,0.0465,0.2069,0.1058,0.2612,0.3435,0.0306,0.0000
F#,0.0028,0.0001,0.1400,0.0015,0.0088,0.0120,0.0028,0.0349,0.0023,0.0693,0.0021,0.0253,0.0170,0.0000
G,0.1129,0.2761,0.0250,0.1922,0.0702,0.0640,0.2450,0.1453,0.0998,0.1241,0.2072,0.0599,0.1769,0.0000
G#,0.0041,0.0030,0.1150,0.0024,0.1184,0.0045,0.0041,0.2209,0.0030,0.0547,0.0050,0.0360,0.0204,0.0000
A,0.2027,0.1084,0.0100,0.1463,0.0044,0.3252,0.1066,0.0349,0.2092,0.0657,0.1022,0.0506,0.1667,0.0000
A#,0.0179,0.0163,0.1350,0.0275,0.1623,0.0062,0.0170,0.0640,0.0164,0.1569,0.0045,0.0692,0.0408,0.0000
B,0.0052,0.0100,0.0400,0.0079,0.0044,0.0128,0.0013,0.0581,0.0032,0.0292,0.0103,0.0067,0.0408,0.0000
END,0.0000,0.1217,0.1200,0.0568,0.0439,0.0656,0.0569,0.0407,0.0694,0.0401,0.0855,0.0439,0.0544,0.0000
