,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.1715,0.0803,0.0000,0.1669,0.0667,0.0800,0.2835,0.0000,0.1557,0.1463,0.1251,0.2746,0.2157,0.0000
C#,0.0007,0.0000,0.0000,0.0025,0.0444,0.0031,0.0000,0.0417,0.0004,0.0000,0.0005,0.0000,0.0392,0.0000
D,0.1316,0.1122,0.0625,0.0606,0.2889,0.0915,0.0771,0.0833,0.0766,0.0244,0.0940,0.0725,0.0686,0.0000
D#,0.0052,0.0027,0.1250,0.0016,0.0222,0.0083,0.0015,0.1250,0.0016,0.0244,0.0024,0.0104,0.0000,0.0000
E,0.0451,0.0794,0.0625,0.1391,0.0889,0.0561,0.0675,0.0833,0.0544,0.0000,0.0745,0.0052,0.1961,0.0000
F,0.2757,0.2039,0.1875,0.1735,0.0667,0.2692,0.0649,0.3750,0.2240,0.1220,0.2845,0.2539,0.0294,0.0000
F#,0.0015,0.0000,0.1250,0.0000,0.0000,0.0010,0.0015,0.0000,0.0024,0.0244,0.0033,0.0000,0.0098,0.0000
G,0.0924,0.2806,0.1250,0.1735,0.2000,0.0655,0.2691,0.0833,0.0731,0.2439,0.2592,0.1140,0.0490,0.0000
G#,0.0030,0.0018,0.0000,0.0000,0.0222,0.0010,0.0011,0.0000,0.0032,0.0732,0.0053,0.0052,0.0490,0.0000
A,0.2491,0.1195,0.0625,0.1759,0.0444,0.2807,0.1238,0.0833,0.1982,0.0732,0.0630,0.1088,0.1667,0.0000
A#,0.0163,0.0205,0.0000,0.0221,0.1333,0.0021,0.0126,0.0000,0.0103,0.0488,0.0062,0.0674,0.0294,0.0000
B,0.0081,0.0055,0.1875,0.0090,0.0000,0.0135,0.0019,0.0833,0.0012,0.0732,0.0138,0.0155,0.0686,0.0000
END,0.0000,0.0935,0.0625,0.0753,0.0222,0.1279,0.0956,0.0417,0.1990,0.1463,0.0683,0.0725,0.0784,0.0000
