,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,654,923,20,653,29,210,2825,15,1684,63,847,192,42,0
C#,5,21,4,25,3,9,15,6,11,27,10,8,7,0
D,436,796,17,296,30,294,672,11,770,10,754,77,14,0
D#,32,46,15,16,15,21,46,3,36,28,6,49,2,0
E,133,487,5,391,13,157,571,12,371,8,535,11,70,0
F,763,1824,16,856,58,693,659,38,1814,30,1888,238,14,0
F#,7,6,9,21,11,28,23,16,45,0,13,4,7,0
G,342,2351,13,798,29,199,2221,30,686,46,1731,88,28,0
G#,19,59,13,6,47,2,38,5,43,38,44,25,10,0
A,798,862,6,711,10,861,1041,9,1848,37,628,73,53,0
A#,73,185,14,137,54,10,126,1,115,30,70,43,13,0
B,19,47,5,29,2,28,21,26,23,6,62,7,18,0
END,0,550,14,238,14,252,633,18,1116,26,349,56,15,0
