,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,333,422,2,125,11,40,636,1,508,13,232,48,1,0
C#,1,4,2,0,0,2,2,3,0,1,1,2,3,0
D,87,174,3,145,9,65,159,4,119,2,245,18,4,0
D#,7,11,1,5,3,3,7,2,1,3,4,8,1,0
E,31,110,4,116,2,42,130,6,78,1,131,4,11,0
F,142,531,0,173,7,152,193,1,413,11,327,50,8,0
F#,2,2,3,1,1,5,1,1,2,1,10,1,2,0
G,77,588,3,197,4,55,504,5,223,15,342,28,4,0
G#,1,16,0,1,1,1,5,1,8,1,18,9,0,0
A,201,229,1,180,0,222,198,3,377,4,196,26,10,0
A#,17,51,1,22,10,6,29,0,44,7,14,6,1,0
B,3,14,1,4,2,4,6,3,7,0,8,0,0,0
END,0,220,0,65,6,69,138,2,265,3,119,8,7,0
