,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,232,176,0,204,3,77,765,0,392,6,262,53,22,0
C#,1,0,0,3,2,3,0,1,1,0,1,0,4,0
D,178,246,1,74,13,88,208,2,193,1,197,14,7,0
D#,7,6,2,2,1,8,4,3,4,1,5,2,0,0
E,61,174,1,170,4,54,182,2,137,0,156,1,20,0
F,373,447,3,212,3,259,175,9,564,5,596,49,3,0
F#,2,0,2,0,0,1,4,0,6,1,7,0,1,0
G,125,615,2,212,9,63,726,2,184,10,543,22,5,0
G#,4,4,0,0,1,1,3,0,8,3,11,1,5,0
A,337,262,1,215,2,270,334,2,499,3,132,21,17,0
A#,22,45,0,27,6,2,34,0,26,2,13,13,3,0
B,11,12,3,11,0,13,5,2,3,3,29,3,7,0
END,0,205,1,92,1,123,258,1,501,6,143,14,8,0
