,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,172,211,0,126,5,24,454,2,356,4,97,56,4,0
C#,0,2,1,2,2,0,7,3,1,3,0,0,1,0
D,51,134,0,94,17,71,102,2,98,0,162,12,6,0
D#,3,8,6,6,6,12,9,1,9,5,0,16,0,0
E,17,95,0,101,1,64,96,2,54,3,97,1,15,0
F,85,302,1,107,17,117,82,0,356,12,219,50,0,0
F#,2,1,2,2,0,6,1,0,10,0,3,1,0,0
G,75,424,0,148,4,36,376,13,141,5,224,36,9,0
G#,3,7,2,3,6,1,11,0,13,2,3,9,2,0
A,129,121,0,74,4,160,113,0,260,9,87,28,15,0
A#,7,67,5,43,14,2,32,0,13,14,28,8,0,0
B,5,14,4,5,0,3,2,3,3,0,10,6,5,0
END,0,125,1,38,5,50,63,2,177,5,70,10,3,0
