,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.4382,0.1552,0.1045,0.1512,0.1044,0.0841,0.3808,0.0544,0.3227,0.1303,0.1313,0.2363,0.1566,0.0000
C#,0.0012,0.0016,0.0785,0.0034,0.0160,0.0031,0.0017,0.1117,0.0008,0.1241,0.0015,0.0070,0.0207,0.0000
D,0.0766,0.0839,0.0956,0.0977,0.1547,0.1139,0.0754,0.0764,0.0865,0.0275,0.1434,0.0767,0.0681,0.0000
D#,0.0030,0.0033,0.0546,0.0047,0.0507,0.0088,0.0042,0.0275,0.0038,0.0696,0.0010,0.0431,0.0063,0.0000
E,0.0290,0.0602,0.0453,0.0993,0.0540,0.0640,0.0579,0.0825,0.0407,0.0321,0.0836,0.0178,0.2761,0.0000
F,0.1206,0.2420,0.0728,0.1826,0.2232,0.2328,0.0780,0.1427,0.2161,0.1146,0.2792,0.3131,0.0464,0.0000
F#,0.0013,0.0005,0.1574,0.0022,0.0137,0.0055,0.0020,0.0483,0.0021,0.0379,0.0022,0.0100,0.0340,0.0000
G,0.0844,0.2890,0.0835,0.2502,0.1235,0.0717,0.2606,0.1366,0.0902,0.1735,0.2188,0.1077,0.1066,0.0000
G#,0.0019,0.0031,0.1187,0.0013,0.0904,0.0021,0.0036,0.1074,0.0036,0.0477,0.0037,0.0188,0.0151,0.0000
A,0.2297,0.1191,0.0575,0.1633,0.0214,0.3878,0.1072,0.0486,0.2031,0.1078,0.1054,0.1010,0.1700,0.0000
A#,0.0106,0.0171,0.0598,0.0285,0.1288,0.0059,0.0174,0.0214,0.0156,0.1050,0.0086,0.0487,0.0431,0.0000
B,0.0028,0.0061,0.0378,0.0067,0.0091,0.0102,0.0018,0.1314,0.0029,0.0170,0.0085,0.0116,0.0467,0.0000
END,0.0000,0.0183,0.0335,0.0082,0.0091,0.0090,0.0087,0.0110,0.0109,0.0115,0.0121,0.0077,0.0094,0.0000
