,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.3997,0.1885,0.1370,0.1505,0.1060,0.0699,0.3126,0.0152,0.2335,0.1489,0.1220,0.2559,0.1526,0.0000
C#,0.0006,0.0019,0.0548,0.0020,0.0199,0.0031,0.0022,0.0606,0.0021,0.0071,0.0008,0.0016,0.0105,0.0000
D,0.0798,0.0737,0.1370,0.1391,0.2119,0.1168,0.0680,0.0303,0.0687,0.0284,0.1262,0.0553,0.1000,0.0000
D#,0.0042,0.0037,0.0411,0.0050,0.0397,0.0104,0.0031,0.0152,0.0031,0.0851,0.0020,0.0095,0.0053,0.0000
E,0.0275,0.0472,0.1233,0.0938,0.0530,0.0897,0.0626,0.1818,0.0364,0.0284,0.0749,0.0126,0.1474,0.0000
F,0.1220,0.2077,0.0959,0.1669,0.1854,0.2065,0.0945,0.1364,0.1819,0.0922,0.2288,0.2638,0.0368,0.0000
F#,0.0019,0.0007,0.0685,0.0007,0.0000,0.0031,0.0012,0.0303,0.0032,0.0071,0.0016,0.0032,0.0105,0.0000
G,0.0874,0.2518,0.0685,0.1897,0.0728,0.0704,0.2480,0.3939,0.1214,0.2128,0.2021,0.1216,0.1000,0.0000
G#,0.0026,0.0040,0.0000,0.0003,0.0464,0.0021,0.0046,0.0303,0.0050,0.0284,0.0034,0.0126,0.0158,0.0000
A,0.2572,0.0938,0.0685,0.1501,0.0132,0.3040,0.0943,0.0000,0.1755,0.0993,0.1403,0.1058,0.1789,0.0000
A#,0.0135,0.0147,0.1370,0.0235,0.1391,0.0042,0.0183,0.0000,0.0226,0.1277,0.0092,0.0679,0.1053,0.0000
B,0.0035,0.0082,0.0000,0.0057,0.0000,0.0073,0.0014,0.0303,0.0029,0.0496,0.0070,0.0190,0.0316,0.0000
END,0.0000,0.1043,0.0685,0.0727,0.1126,0.1126,0.0892,0.0758,0.1437,0.0851,0.0817,0.0711,0.1053,0.0000
