,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.3133,0.1396,0.0000,0.1682,0.0617,0.0440,0.3368,0.0714,0.2388,0.0645,0.0970,0.2403,0.0667,0.0000
C#,0.0000,0.0013,0.0455,0.0027,0.0247,0.0000,0.0052,0.1071,0.0007,0.0484,0.0000,0.0000,0.0167,0.0000
D,0.0929,0.0887,0.0000,0.1255,0.2099,0.1300,0.0757,0.0714,0.0657,0.0000,0.1620,0.0515,0.1000,0.0000
D#,0.0055,0.0053,0.2727,0.0080,0.0741,0.0220,0.0067,0.0357,0.0060,0.0806,0.0000,0.0687,0.0000,0.0000
E,0.0310,0.0629,0.0000,0.1348,0.0123,0.1172,0.0712,0.0714,0.0362,0.0484,0.0970,0.0043,0.2500,0.0000
F,0.1548,0.1999,0.0455,0.1429,0.2099,0.2143,0.0608,0.0000,0.2388,0.1935,0.2190,0.2146,0.0000,0.0000
F#,0.0036,0.0007,0.0909,0.0027,0.0000,0.0110,0.0007,0.0000,0.0067,0.0000,0.0030,0.0043,0.0000,0.0000
G,0.1366,0.2806,0.0000,0.1976,0.0494,0.0659,0.2789,0.4643,0.0946,0.0806,0.2240,0.1545,0.1500,0.0000
G#,0.0055,0.0046,0.0909,0.0040,0.0741,0.0018,0.0082,0.0000,0.0087,0.0323,0.0030,0.0386,0.0333,0.0000
A,0.2350,0.0801,0.0000,0.0988,0.0494,0.2930,0.0838,0.0000,0.1744,0.1452,0.0870,0.1202,0.2500,0.0000
A#,0.0128,0.0443,0.2273,0.0574,0.1728,0.0037,0.0237,0.0000,0.0087,0.2258,0.0280,0.0343,0.0000,0.0000
B,0.0091,0.0093,0.1818,0.0067,0.0000,0.0055,0.0015,0.1071,0.0020,0.0000,0.0100,0.0258,0.0833,0.0000
END,0.0000,0.0827,0.0455,0.0507,0.0617,0.0916,0.0467,0.0714,0.1187,0.0806,0.0700,0.0429,0.0500,0.0000
