,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,0.4382,0.1362,0.1942,0.1344,0.1269,0.0747,0.3675,0.0386,0.2836,0.1854,0.1388,0.2189,0.1497,0.0000
C#,0.0003,0.0010,0.0194,0.0042,0.0212,0.0025,0.0009,0.0145,0.0004,0.0281,0.0011,0.0034,0.0168,0.0000
D,0.0766,0.0740,0.1019,0.0856,0.1462,0.1217,0.0758,0.1449,0.0815,0.0253,0.1379,0.0798,0.0657,0.0000
D#,0.0022,0.0028,0.0291,0.0042,0.0596,0.0068,0.0036,0.0290,0.0031,0.0646,0.0011,0.0277,0.0042,0.0000
E,0.0250,0.0616,0.0631,0.0935,0.0808,0.0609,0.0572,0.1111,0.0369,0.0140,0.0818,0.0156,0.2979,0.0000
F,0.1195,0.2463,0.0583,0.1758,0.1942,0.2205,0.0632,0.1111,0.1907,0.1180,0.2681,0.3322,0.0476,0.0000
F#,0.0009,0.0004,0.1068,0.0019,0.0058,0.0020,0.0011,0.0435,0.0012,0.0084,0.0014,0.0005,0.0378,0.0000
G,0.0803,0.2640,0.1117,0.2398,0.1212,0.0701,0.2442,0.1353,0.0829,0.2500,0.2131,0.1080,0.0755,0.0000
G#,0.0009,0.0018,0.0680,0.0008,0.0269,0.0014,0.0039,0.0193,0.0025,0.0225,0.0027,0.0073,0.0112,0.0000
A,0.2462,0.1209,0.0922,0.1736,0.0231,0.3408,0.1048,0.0821,0.1863,0.1292,0.0899,0.1104,0.1622,0.0000
A#,0.0078,0.0143,0.0291,0.0284,0.1346,0.0053,0.0156,0.0338,0.0158,0.0674,0.0093,0.0428,0.0462,0.0000
B,0.0022,0.0063,0.0485,0.0053,0.0077,0.0108,0.0015,0.1691,0.0032,0.0169,0.0073,0.0117,0.0308,0.0000
END,0.0000,0.0704,0.0777,0.0524,0.0519,0.0825,0.0606,0.0676,0.1119,0.0702,0.0475,0.0418,0.0545,0.0000
