,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3055,3080,45,1781,41,602,9980,16,8050,45,2254,509,101,0
C#,9,45,12,36,3,14,27,14,17,17,22,3,12,0
D,809,2345,38,842,110,831,1891,22,2162,11,2506,153,49,0
D#,26,74,8,48,13,91,93,0,67,30,12,67,1,0
E,259,1786,5,1151,21,396,1502,20,1047,13,1438,33,214,0
F,2049,6732,17,2246,126,1869,1753,56,5574,66,5731,677,31,0
F#,4,17,17,20,4,22,45,10,53,1,35,6,27,0
G,838,8876,31,3002,73,490,6921,51,1800,84,4493,208,66,0
G#,15,74,12,12,21,9,75,4,97,12,66,21,6,0
A,1656,3325,17,1644,10,2938,2691,11,5414,62,1430,172,113,0
A#,125,423,7,337,81,38,395,1,338,44,149,100,26,0
B,27,172,10,76,1,61,43,42,76,12,150,20,16,0
END,0,2610,12,574,26,524,1511,14,2238,27,1197,95,44,0
