,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1248,1383,10,449,16,134,1829,1,1448,21,608,162,29,0
C#,2,14,4,6,3,6,13,4,13,1,4,1,2,0
D,249,541,10,415,32,224,398,2,426,4,629,35,19,0
D#,13,27,3,15,6,20,18,1,19,12,10,6,1,0
E,86,346,9,280,8,172,366,12,226,4,373,8,28,0
F,381,1524,7,498,28,396,553,9,1128,13,1140,167,7,0
F#,6,5,5,2,0,6,7,2,20,1,8,2,2,0
G,273,1848,5,566,11,135,1451,26,753,30,1007,77,19,0
G#,8,29,0,1,7,4,27,2,31,4,17,8,3,0
A,803,688,5,448,2,583,552,0,1088,14,699,67,34,0
A#,42,108,10,70,21,8,107,0,140,18,46,43,20,0
B,11,60,0,17,0,14,8,2,18,7,35,12,6,0
END,0,765,5,217,17,216,522,5,891,12,407,45,20,0
