,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,922,1055,9,536,30,212,2728,1,1953,18,719,165,32,0
C#,16,5,20,8,5,16,17,35,5,53,10,4,6,0
D,283,573,6,309,31,265,480,2,618,7,629,41,29,0
D#,14,24,26,17,7,16,37,3,15,18,7,42,2,0
E,93,490,6,338,21,162,403,20,292,1,511,22,64,0
F,574,1744,16,642,40,564,605,8,1530,29,1521,258,9,0
F#,8,1,28,5,2,29,21,6,17,19,12,19,5,0
G,328,2314,5,629,16,155,1847,25,738,34,1207,45,52,0
G#,12,25,23,8,27,11,31,38,22,15,29,27,6,0
A,589,908,2,479,1,788,804,6,1547,18,595,38,49,0
A#,52,137,27,90,37,15,128,11,121,43,26,52,12,0
B,15,84,8,26,1,31,10,10,24,8,60,5,12,0
END,0,1020,24,186,10,159,429,7,513,11,498,33,16,0
