,START,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,END
START,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3841,4033,40,1587,66,590,9060,8,7001,66,2761,450,107,0
C#,3,31,4,50,11,20,23,3,10,10,22,7,12,0
D,671,2190,21,1010,76,962,1869,30,2013,9,2743,164,47,0
D#,19,84,6,50,31,54,88,6,77,23,22,57,3,0
E,219,1824,13,1104,42,481,1411,23,910,5,1626,32,213,0
F,1047,7292,12,2075,101,1743,1557,23,4709,42,5333,683,34,0
F#,8,13,22,22,3,16,26,9,29,3,28,1,27,0
G,704,7818,23,2831,63,554,6019,28,2047,89,4238,222,54,0
G#,8,52,14,10,14,11,97,4,62,8,53,15,8,0
A,2158,3580,19,2049,12,2693,2583,17,4600,46,1789,227,116,0
A#,68,423,6,335,70,42,385,7,391,24,184,88,33,0
B,19,186,10,63,4,85,38,35,78,6,145,24,22,0
END,0,2084,16,619,27,652,1495,14,2763,25,945,86,39,0
